Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/2/2024 12:11:14,Finance and technology ,yes,unknown,mu,nee,male,not willing to say,29-05-200,200,no,30,8,3.14,23:07,Social activity ,Sports 
4/2/2024 12:11:15,computational sciences ,yes,0,mu,nee,female,yes,12-10-2001,210,no,60,5,865,12:15 am ,good food ,no school 
4/2/2024 12:11:15,AI,yes,0,mu,ja,male,yes,26/08/1988,220,no,77,0,29,7 am,Study,Organized 
4/2/2024 12:11:15,Business Analytics,yes,1,mu,ja,female,yes,25-07-2002,250,no,0,9,74364789532,23:00,Sunshine,Friends 
4/2/2024 12:11:16,Internet and Web Technologies ,yes,1,sigma,ja,male,yes,14,80,no,5,10,8,10:30,Date with a girl,Binge watching a TV show
4/2/2024 12:11:16,Econometrics,no,0,mu,nee,male,yes,13/06/2000,350,no,10,15,13,23:04,"Good sleep, Rowing and being productive","Good sleep, chillings and eating good"
4/2/2024 12:11:18,AI,yes,0,mu,ja,female,yes,05-04-2000,300,no,70,2,6,1:28,sleep 8h,went to gym
4/2/2024 12:11:23,Bioinformatics,yes,unknown,mu,ja,male,yes,16-11-1999,200,no,100,3,420,1 am,Beer,Beer
4/2/2024 12:11:23,Business Analytics ,yes,0,mu,nee,female,yes,"May 4, 2000",225,no,65,0,200000007,1:43,Work during the day and see my friends in the evening,"Going outside, eating good food, getting some work done, seeing people I know, drinking"
4/2/2024 12:11:24,Artificial Intelligence,yes,1,mu,ja,male,yes,02-10-2000,450,no,30,6,2564803,2am,If I can decide for myself what I want to do during the day,If I have a fun social activity in the evening
4/2/2024 12:11:29,Finance and Technology,yes,0,mu,nee,male,yes,07/10/1997,300,no,52,10,752169420587,00:50,Low stress,Sunny weather
4/2/2024 12:11:30,Computer Science,yes,1,mu,ja,male,no,1-1-2002,300,no,20,2,582819464919263,0:00,-,-
4/2/2024 12:11:32,Computer science(joint,yes,1,mu,ja,female,not willing to say,21-06,250,no,75,3,21,00:30,Good sleep,Delicious food 
4/2/2024 12:11:34,bioinformatics,yes,0,unknown,nee,male,yes,2001 03 29,200,no,1000000000000,5,29,3 AM,good weather,good grades
4/2/2024 12:11:35,MPA,no,0,unknown,nee,female,yes,18-01-2001,200,no,70,5,8,01:30,Nice food,Nice weather
4/2/2024 12:11:35,AI,yes,1,mu,ja,female,not willing to say,29-07-2002,300,no,20,5,77,23:00,Sun,Dinner with friends
4/2/2024 12:11:35,MSc Bioinformatics,yes,0,mu,nee,non-binary,yes,why do you need to know,4,no,105,57,42,6am,alex going to brussels on my birthday,fun lectures at 9am
4/2/2024 12:11:40,Business Analytics,yes,1,sigma,ja,male,yes,28-11-1997,430,no,0,6,21,23:30,Weed,Sun
4/2/2024 12:11:40,Bioinformatics and Systems Biology ,yes,0,mu,ja,gender fluid,yes,17/3/1995,110,no,87,0,563912,2:30,Alcohol,Seeing friends
4/2/2024 12:11:41,Bioinformatics & Systems Biology,yes,1,unknown,ja,female,no,24-01-1998,335,no,45,4,1789,2:00,Time with friends ,Enough time for relaxation
4/2/2024 12:11:42,computer science,yes,unknown,unknown,ja,female,not willing to say,2000.8.10,190,unknown,80,1,810,2am,No assignment,No presentation
4/2/2024 12:11:44,Computational science,yes,0,mu,nee,not willing to answer,yes,2000/04/15,300,no,1,2,7777777777,3am,perfect sleep,delicious food
4/2/2024 12:11:45,Artificial Intelligence,yes,0,mu,nee,male,yes,10-08-2000,325,no,15,9,1309,23:00,Sports,Food
4/2/2024 12:11:51,Artificial intelligence ,yes,0,mu,nee,male,yes,10/11,300,no,30,4,73,1 am,Finish all the things need to be done ,Cooking a delicious meal 
4/2/2024 12:11:52,AI,yes,0,sigma,nee,male,yes,2000,200,no,999,632,1,150,Peepee,Poopoo
4/2/2024 12:11:53,Econometrics & Operations Research,no,0,mu,nee,female,yes,18-10-2000,245,no,0,3,144,23:30,Good weather,Being with my friends and/or family
4/2/2024 12:11:56,MSc AI,yes,1,mu,ja,male,yes,14-9-1419,175,no,10,8,61,04:00,Praying,Gratitude
4/2/2024 12:11:56,Artificial intelligence,yes,1,mu,ja,male,no,02/11,269,no,42.69,8,3,00:35,Sunny weather,Lots of free time
4/2/2024 12:11:57,Computer Science,yes,1,mu,ja,male,no,07-06-1998,270,no,10,6,69,2:30,No obligations,Seeing friends
4/2/2024 12:12:00,I am in the masters Artificial Intelligence at the University of Amsterdam,yes,1,unknown,ja,male,yes,16-04-1999,Two hundred fifty,no,22.5,3,π,1 o clock ,"Good weather, for example when the sun is shining at about 25 degrees celcius",Cozy movie watching on a rainy day
4/2/2024 12:12:03,MPA,no,0,unknown,ja,male,yes,15-04-2001,300,no,60,5,7,23:30,Sunny weather,Spending time with friends
4/2/2024 12:12:06,Computer Security,yes,1,mu,ja,male,yes,14/09/1997,250,no,60,3,314,2,A p-value << 0.05,Winning the lottery
4/2/2024 12:12:06,BiSB,yes,0,sigma,nee,female,yes,12-05,300,no,80,0,7,4am,no assignment,sunny day
4/2/2024 12:12:07,Computer science ,yes,0,mu,ja,male,yes,23 August 2002,200,no,0,7,617848429,04:00 ,Talking to my girlfriend,Eating authentic indian food
4/2/2024 12:12:07,Business Analytics,yes,0,mu,ja,female,yes,01-05-2001,200,no,20,2,78,00:30,Joy,Fun
4/2/2024 12:12:09,Master Business Analytics,yes,1,mu,ja,male,yes,15-11-1999,242,no,15,10,9005,10:30,Sun,Smilling People
4/2/2024 12:12:11,Bioinformatics,yes,1,mu,nee,female,yes,4.20,200,no,99,5,636,3,Food,Game
4/2/2024 12:12:11,AI,yes,1,mu,ja,male,yes,07-12-1997,150,no,55,8,68,22:30,Sleep,Excercise
4/2/2024 12:12:15,Msc AI ,yes,0,unknown,ja,male,yes,07.07.01,153,no,0,5,6174,3,good food,sleeping
4/2/2024 12:12:16,Data mining,yes,0,mu,nee,female,yes,09/12/1990,Around200,no,99,3,6990,2 o'clock,Kindness,Weather
4/2/2024 12:12:17,Msc Bioinformatics & Systems Biology,yes,0,mu,ja,female,yes,13-02-1999,263,no,0,7,13,03:07 ,When I am able to sport,When the sun shines 
4/2/2024 12:12:17,Computational Science,yes,0,mu,nee,male,yes,22-04,250,no,0,4,6,23:30,No stress,Being happy
4/2/2024 12:12:21,computer science,no,0,mu,ja,female,yes,21-07-2000,150,no,75,2,831,1 a.m.,love,game
4/2/2024 12:12:30,Bioinformatics and Systems Biology,yes,0,mu,nee,male,not willing to say,29/05/2002,150,no,0,6,42,02:00,achievements,easy cycling
4/2/2024 12:12:33,Business Analytics,yes,1,mu,ja,female,yes,26-01-2003,250,no,20,1,9,23.30,Sunshine,Having good food
4/2/2024 12:12:37,Master of Finance Duisenberg Honours Program: Quantitative Risk Management ,no,unknown,unknown,nee,male,yes,13/03/1999,110,no,80,4,72,03:00,Good weather (Sunny) ,Achieve my personal goals
4/2/2024 12:12:38,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,yes,06.09.1999,280,no,31,7,31,12.00,"Food, gym, friends",-
4/2/2024 12:12:38,Computer Science ,yes,0,mu,nee,male,no,26/12/1997,187,yes,99,0,1012708299,2.01,coffee,sleep
4/2/2024 12:12:48,Econometrics & Operations research ,no,0,mu,nee,female,yes,06/06/2001,276,no,0,4,11,23:33,Sun,Good food
4/2/2024 12:13:19,Computer Science-Track software engineering ,no,1,unknown,ja,female,not willing to say,26 November 1998,200,no,90,1,7,11:36,A day that I feel useful and happiness ,A day that I feel useful and happiness 
4/2/2024 12:13:20,AI,yes,1,sigma,ja,male,yes,29/8/1998,250,no,10,12,34,23:15,A good coffee after a good gym session,Time free to be productive at home 
4/2/2024 12:13:21,Software Engineering and Green IT,yes,1,mu,ja,female,yes,31-Jan-1982,400,no,10,4,45,Yes,Accomplishment,Meeting objectives 
4/2/2024 12:13:41,CS,yes,0,sigma,ja,not willing to answer,yes,6-22,400,unknown,80,0,114514,1:05,sleep well,holidays
4/2/2024 12:13:46,Data mining,no,0,unknown,ja,female,yes,27-03-2001,120,no,0.5,0.5,4580625207841489679541,2,If my chrush likes me back,Sunny day
4/2/2024 12:14:08,Econometrics & operations Research,yes,0,sigma,ja,male,yes,27/02/1998,269,no,63,11,"3,141,592,653",22:45,When I have done some exercise along with a successful day of studying,When I get to meet up with some friends
4/2/2024 12:14:14,Bioinformatics and Systems Biology,yes,0,mu,nee,gender fluid,not willing to say,04,220,no,1,2,01001010,0100,Looking at a mirror,Looking at a selfie
4/2/2024 12:14:16,Econometrics and Operations research,unknown,1,sigma,ja,male,yes,14 may 2001,189,no,56,5,2.78,23:30,If i have a relatively relaxing but productive day,If the stockmarket goes up
4/2/2024 12:14:56,Data mining techniques ,yes,0,sigma,nee,female,yes,27.06.1998,365,no,34,1,36952,23,"Staying home, with food","Staying home, with food, playing games"
4/2/2024 12:15:12,Python,yes,unknown,unknown,ja,male,yes,17-05-2000,200,unknown,60,6,6,23:30,Sucess,Food
4/2/2024 12:22:58,Computer Science,no,0,sigma,ja,female,yes,26-08-1999,150,no,60,3,7,2:15,Nice food,Good sleep
